protein_id,contig_id,keywords
CP069348_0103,CP069348,none
CP069348_0104,CP069348,none
CP069348_0105,CP069348,none
CP069348_0106,CP069348,none
CP069348_0107,CP069348,none
CP069348_0108,CP069348,none
CP069348_0109,CP069348,none
CP069348_0110,CP069348,none
CP069348_0111,CP069348,none
CP069348_0112,CP069348,none
CP069348_0113,CP069348,none
CP069348_0114,CP069348,none
CP069348_0115,CP069348,none
CP069348_0116,CP069348,none
CP069348_0117,CP069348,none
CP069348_0118,CP069348,none
CP069348_0119,CP069348,none
CP069348_0120,CP069348,none
CP069348_0121,CP069348,none
CP069348_0122,CP069348,none
CP069348_0123,CP069348,none
CP069348_0124,CP069348,none
CP069348_0125,CP069348,none
CP069348_0126,CP069348,none
CP069348_0127,CP069348,none
CP069348_0128,CP069348,none
CP069348_0129,CP069348,none
CP069348_0130,CP069348,none
CP069348_0131,CP069348,none
CP069348_0132,CP069348,none
CP069348_0133,CP069348,none
CP069348_0134,CP069348,none
CP069348_0135,CP069348,none
CP069348_0136,CP069348,none
CP069348_0137,CP069348,none
CP069348_0138,CP069348,none
CP069348_0139,CP069348,none
CP069348_0140,CP069348,none
CP069348_0141,CP069348,none
CP069348_0142,CP069348,none
CP069348_0143,CP069348,none
CP069348_0144,CP069348,none
CP069348_0145,CP069348,none
CP069348_0146,CP069348,none
CP069348_0147,CP069348,none
CP069348_0148,CP069348,none
CP069348_0149,CP069348,none
CP069348_0150,CP069348,none
CP069348_0151,CP069348,none
CP069348_0152,CP069348,none
CP069348_0153,CP069348,none
CP069348_0154,CP069348,none
CP069348_0155,CP069348,none
CP069348_0156,CP069348,none
CP069348_0157,CP069348,none
CP069348_0158,CP069348,none
CP069348_0159,CP069348,none
CP069348_0160,CP069348,none
CP069348_0161,CP069348,none
CP069348_0162,CP069348,none
CP069348_0163,CP069348,none
CP069348_0164,CP069348,none
CP069348_0165,CP069348,none
CP069348_0166,CP069348,none
CP069348_0167,CP069348,none
CP069348_0168,CP069348,none
CP069348_0169,CP069348,none
CP069348_0170,CP069348,none
CP069348_0171,CP069348,none
CP069348_0172,CP069348,none
CP069348_0173,CP069348,none
CP069348_0174,CP069348,none
CP069348_0175,CP069348,none
CP069348_0176,CP069348,none
CP069348_0177,CP069348,none
CP069348_0178,CP069348,none
CP069348_0179,CP069348,none
CP069347_0001,CP069347,none
CP069347_0002,CP069347,none
CP069347_0003,CP069347,none
CP069347_0004,CP069347,none
CP069347_0005,CP069347,none
CP069347_0006,CP069347,none
CP069347_0007,CP069347,none
CP069347_0008,CP069347,none
CP069347_0009,CP069347,none
CP069347_0010,CP069347,none
CP069347_0011,CP069347,none
CP069347_0012,CP069347,none
CP069347_0013,CP069347,none
CP069347_0014,CP069347,none
CP069347_0015,CP069347,none
CP069347_0016,CP069347,none
CP069347_0017,CP069347,none
CP069347_0018,CP069347,none
CP069347_0019,CP069347,none
CP069347_0020,CP069347,none
CP069347_0021,CP069347,none
CP069347_0022,CP069347,none
CP069347_0023,CP069347,none
CP069347_0024,CP069347,none
CP069347_0025,CP069347,none
CP069347_0026,CP069347,none
CP069347_0027,CP069347,none
CP069347_0028,CP069347,none
CP069347_0029,CP069347,none
CP069347_0030,CP069347,none
CP069347_0031,CP069347,none
CP069347_0032,CP069347,none
CP069347_0033,CP069347,none
CP069347_0034,CP069347,none
CP069347_0035,CP069347,none
CP069347_0036,CP069347,none
CP069347_0037,CP069347,none
CP069347_0038,CP069347,none
CP069347_0039,CP069347,none
CP069347_0040,CP069347,none
CP069347_0041,CP069347,none
CP069347_0042,CP069347,none
CP069347_0043,CP069347,none
CP069347_0044,CP069347,none
CP069347_0045,CP069347,none
CP069347_0046,CP069347,none
CP069347_0047,CP069347,none
CP069347_0048,CP069347,none
CP069347_0049,CP069347,none
CP069347_0050,CP069347,none
CP069347_0051,CP069347,none
CP069347_0052,CP069347,none
CP069347_0053,CP069347,none
CP069347_0054,CP069347,none
CP069347_0055,CP069347,none
CP069347_0056,CP069347,none
CP069347_0057,CP069347,none
CP069347_0058,CP069347,none
CP069347_0059,CP069347,none
NC_009231_0001,NC_009231,none
NC_009231_0002,NC_009231,none
NC_009231_0003,NC_009231,none
NC_009231_0004,NC_009231,none
NC_009231_0005,NC_009231,none
NC_009231_0006,NC_009231,none
NC_009231_0007,NC_009231,none
NC_009231_0008,NC_009231,none
NC_009231_0009,NC_009231,none
NC_009231_0010,NC_009231,none
NC_009231_0011,NC_009231,none
NC_009231_0012,NC_009231,none
NC_009231_0013,NC_009231,none
NC_009231_0014,NC_009231,none
NC_009231_0015,NC_009231,none
NC_009231_0016,NC_009231,none
NC_009231_0017,NC_009231,none
NC_009231_0018,NC_009231,none
NC_009231_0019,NC_009231,none
NC_009231_0020,NC_009231,none
NC_009231_0021,NC_009231,none
NC_009231_0022,NC_009231,none
NC_009231_0023,NC_009231,none
NC_009231_0024,NC_009231,none
NC_009231_0025,NC_009231,none
NC_009231_0026,NC_009231,none
NC_009231_0027,NC_009231,none
NC_009231_0028,NC_009231,none
NC_009231_0029,NC_009231,none
NC_009231_0030,NC_009231,none
NC_009231_0031,NC_009231,none
NC_009231_0032,NC_009231,none
NC_009231_0033,NC_009231,none
NC_009231_0034,NC_009231,none
NC_009231_0035,NC_009231,none
NC_009231_0036,NC_009231,none
NC_009231_0037,NC_009231,none
NC_009231_0038,NC_009231,none
NC_009231_0039,NC_009231,none
NC_009231_0040,NC_009231,none
NC_009231_0041,NC_009231,none
NC_009231_0042,NC_009231,none
NC_009231_0043,NC_009231,none
NC_009231_0044,NC_009231,none
NC_009231_0045,NC_009231,none
NC_009231_0046,NC_009231,none
NC_009231_0047,NC_009231,none
NC_009231_0048,NC_009231,none
NC_009231_0049,NC_009231,none
NC_009231_0050,NC_009231,none
NC_009231_0051,NC_009231,none
NC_009231_0052,NC_009231,none
NC_009231_0053,NC_009231,none
NC_009231_0054,NC_009231,none
NC_009231_0055,NC_009231,none
NC_009231_0056,NC_009231,none
NC_009231_0057,NC_009231,none
NC_009231_0058,NC_009231,none
NC_009231_0059,NC_009231,none
NC_009231_0060,NC_009231,none
NC_009231_0061,NC_009231,none
NC_009231_0062,NC_009231,none
NC_009231_0063,NC_009231,none
NC_009231_0064,NC_009231,none
NC_009231_0065,NC_009231,none
NC_009231_0066,NC_009231,none
NC_009231_0067,NC_009231,none
NC_009231_0068,NC_009231,none
NC_009231_0069,NC_009231,none
NC_009231_0070,NC_009231,none
NC_009231_0071,NC_009231,none
NC_009231_0072,NC_009231,none
NC_009231_0073,NC_009231,none
NC_009231_0074,NC_009231,none
NC_009231_0075,NC_009231,none
NC_009231_0076,NC_009231,none
NC_009231_0077,NC_009231,none
NC_009231_0078,NC_009231,none
NC_009231_0079,NC_009231,none
NC_009231_0080,NC_009231,none
NC_009231_0081,NC_009231,none
NC_009231_0082,NC_009231,none
NC_009231_0083,NC_009231,none
NC_009231_0084,NC_009231,none
NC_009231_0085,NC_009231,none
NC_009231_0086,NC_009231,none
NC_009231_0087,NC_009231,none
NC_009231_0088,NC_009231,none
NC_009231_0089,NC_009231,none
NC_009231_0090,NC_009231,none
NC_009231_0091,NC_009231,none
NC_009231_0092,NC_009231,none
NC_009231_0093,NC_009231,none
NC_009231_0094,NC_009231,none
NC_009231_0095,NC_009231,none
NC_009231_0096,NC_009231,none
MW512572_0001,MW512572,none
MW512572_0002,MW512572,none
MW512572_0003,MW512572,none
MW512572_0004,MW512572,none
MW512572_0005,MW512572,none
MW512572_0006,MW512572,none
MW512572_0007,MW512572,none
MW512572_0008,MW512572,none
MW512572_0009,MW512572,none
MW512572_0010,MW512572,none
MW512572_0011,MW512572,none
MW512572_0012,MW512572,none
MW512572_0013,MW512572,none
MW512572_0014,MW512572,none
MW512572_0015,MW512572,none
MW512572_0016,MW512572,none
MW512572_0017,MW512572,none
MW512572_0018,MW512572,none
MW512572_0019,MW512572,none
MW512572_0020,MW512572,none
MW512572_0021,MW512572,none
MW512572_0022,MW512572,none
MW512572_0023,MW512572,none
MW512572_0024,MW512572,none
MW512572_0025,MW512572,none
MW512572_0026,MW512572,none
MW512572_0027,MW512572,none
MW512572_0028,MW512572,none
MW512572_0029,MW512572,none
MW512572_0030,MW512572,none
MW512572_0031,MW512572,none
MW512572_0032,MW512572,none
MW512572_0033,MW512572,none
MW512572_0034,MW512572,none
MW512572_0035,MW512572,none
MW512572_0036,MW512572,none
MW512572_0037,MW512572,none
MW512572_0038,MW512572,none
MW512572_0039,MW512572,none
MW512572_0040,MW512572,none
MW512572_0041,MW512572,none
MW512572_0042,MW512572,none
MW512572_0043,MW512572,none
MW512572_0044,MW512572,none
MW512572_0045,MW512572,none
MW512572_0046,MW512572,none
MW512572_0047,MW512572,none
MW512572_0048,MW512572,none
NC_028905_0001,NC_028905,none
NC_028905_0002,NC_028905,none
NC_028905_0003,NC_028905,none
NC_028905_0004,NC_028905,none
NC_028905_0005,NC_028905,none
NC_028905_0006,NC_028905,none
NC_028905_0007,NC_028905,none
NC_028905_0008,NC_028905,none
NC_028905_0009,NC_028905,none
NC_028905_0010,NC_028905,none
NC_028905_0011,NC_028905,none
NC_028905_0012,NC_028905,none
NC_028905_0013,NC_028905,none
NC_028905_0014,NC_028905,none
NC_028905_0015,NC_028905,none
NC_028905_0016,NC_028905,none
NC_028905_0017,NC_028905,none
NC_028905_0018,NC_028905,none
NC_028905_0019,NC_028905,none
NC_028905_0020,NC_028905,none
NC_028905_0021,NC_028905,none
NC_028905_0022,NC_028905,none
NC_028905_0023,NC_028905,none
NC_028905_0024,NC_028905,none
NC_028905_0025,NC_028905,none
NC_028905_0026,NC_028905,none
NC_028905_0027,NC_028905,none
NC_028905_0028,NC_028905,none
NC_028905_0029,NC_028905,none
NC_028905_0030,NC_028905,none
NC_028905_0031,NC_028905,none
NC_028905_0032,NC_028905,none
NC_028905_0033,NC_028905,none
NC_028905_0034,NC_028905,none
NC_028905_0035,NC_028905,none
NC_028905_0036,NC_028905,none
NC_028905_0037,NC_028905,none
NC_028905_0038,NC_028905,none
NC_028905_0039,NC_028905,none
NC_028905_0040,NC_028905,none
NC_028905_0041,NC_028905,none
NC_028905_0042,NC_028905,none
NC_028905_0043,NC_028905,none
NC_028905_0044,NC_028905,none
NC_028905_0045,NC_028905,none
NC_028905_0046,NC_028905,none
NC_028905_0047,NC_028905,none
NC_028905_0048,NC_028905,none
NC_028905_0049,NC_028905,none
NC_028905_0050,NC_028905,none
NC_028905_0051,NC_028905,none
NC_028905_0052,NC_028905,none
NC_028905_0053,NC_028905,none
NC_028958_0001,NC_028958,none
NC_028958_0002,NC_028958,none
NC_028958_0003,NC_028958,none
NC_028958_0004,NC_028958,none
NC_028958_0005,NC_028958,none
NC_028958_0006,NC_028958,none
NC_028958_0007,NC_028958,none
NC_028958_0008,NC_028958,none
NC_028958_0009,NC_028958,none
NC_028958_0010,NC_028958,none
NC_028958_0011,NC_028958,none
NC_028958_0012,NC_028958,none
NC_028958_0013,NC_028958,none
NC_028958_0014,NC_028958,none
NC_028958_0015,NC_028958,none
NC_028958_0016,NC_028958,none
NC_028958_0017,NC_028958,none
NC_028958_0018,NC_028958,none
NC_028958_0019,NC_028958,none
NC_028958_0020,NC_028958,none
NC_028958_0021,NC_028958,none
NC_028958_0022,NC_028958,none
NC_028958_0023,NC_028958,none
NC_028958_0024,NC_028958,none
NC_028958_0025,NC_028958,none
NC_028958_0026,NC_028958,none
NC_028958_0027,NC_028958,none
NC_028958_0028,NC_028958,none
NC_028958_0029,NC_028958,none
NC_028958_0030,NC_028958,none
NC_028958_0031,NC_028958,none
NC_028958_0032,NC_028958,none
NC_028958_0033,NC_028958,none
NC_028958_0034,NC_028958,none
NC_028958_0035,NC_028958,none
NC_028958_0036,NC_028958,none
NC_028958_0037,NC_028958,none
NC_028958_0038,NC_028958,none
NC_028958_0039,NC_028958,none
NC_028958_0040,NC_028958,none
NC_028958_0041,NC_028958,none
NC_028958_0042,NC_028958,none
NC_028958_0043,NC_028958,none
NC_028958_0044,NC_028958,none
NC_028958_0045,NC_028958,none
NC_028958_0046,NC_028958,none
NC_028958_0047,NC_028958,none
NC_028958_0048,NC_028958,none
NC_028958_0049,NC_028958,none
NC_028958_0050,NC_028958,none
NC_029048_0001,NC_029048,none
NC_029048_0002,NC_029048,none
NC_029048_0003,NC_029048,none
NC_029048_0004,NC_029048,none
NC_029048_0005,NC_029048,none
NC_029048_0006,NC_029048,none
NC_029048_0007,NC_029048,none
NC_029048_0008,NC_029048,none
NC_029048_0009,NC_029048,none
NC_029048_0010,NC_029048,none
NC_029048_0011,NC_029048,none
NC_029048_0012,NC_029048,none
NC_029048_0013,NC_029048,none
NC_029048_0014,NC_029048,none
NC_029048_0015,NC_029048,none
NC_029048_0016,NC_029048,none
NC_029048_0017,NC_029048,none
NC_029048_0018,NC_029048,none
NC_029048_0019,NC_029048,none
NC_029048_0020,NC_029048,none
NC_029048_0021,NC_029048,none
NC_029048_0022,NC_029048,none
NC_029048_0023,NC_029048,none
NC_029048_0024,NC_029048,none
NC_029048_0025,NC_029048,none
NC_029048_0026,NC_029048,none
NC_029048_0027,NC_029048,none
NC_029048_0028,NC_029048,none
NC_029048_0029,NC_029048,none
NC_029048_0030,NC_029048,none
NC_029048_0031,NC_029048,none
NC_029048_0032,NC_029048,none
NC_029048_0033,NC_029048,none
NC_029048_0034,NC_029048,none
NC_029048_0035,NC_029048,none
NC_029048_0036,NC_029048,none
NC_029048_0037,NC_029048,none
NC_029048_0038,NC_029048,none
NC_029048_0039,NC_029048,none
NC_029048_0040,NC_029048,none
NC_029048_0041,NC_029048,none
NC_029048_0042,NC_029048,none
NC_029048_0043,NC_029048,none
NC_029048_0044,NC_029048,none
NC_029048_0045,NC_029048,none
NC_029048_0046,NC_029048,none
NC_029048_0047,NC_029048,none
NC_029048_0048,NC_029048,none
NC_029048_0049,NC_029048,none
NC_029048_0050,NC_029048,none
NC_029048_0051,NC_029048,none
NC_029048_0052,NC_029048,none
NC_029048_0053,NC_029048,none
NC_029048_0054,NC_029048,none
NC_029048_0055,NC_029048,none
NC_029048_0056,NC_029048,none
NC_029048_0057,NC_029048,none
NC_029048_0058,NC_029048,none
NC_029048_0059,NC_029048,none
NC_029048_0060,NC_029048,none
NC_029048_0061,NC_029048,none
NC_029048_0062,NC_029048,none
NC_029048_0063,NC_029048,none
NC_029048_0064,NC_029048,none
NC_029048_0065,NC_029048,none
NC_029048_0066,NC_029048,none
NC_029048_0067,NC_029048,none
NC_029048_0068,NC_029048,none
NC_029048_0069,NC_029048,none
NC_029048_0070,NC_029048,none
NC_029048_0071,NC_029048,none
NC_029048_0072,NC_029048,none
NC_029048_0073,NC_029048,none
NC_029048_0074,NC_029048,none
NC_029048_0075,NC_029048,none
NC_029048_0076,NC_029048,none
NC_029048_0077,NC_029048,none
NC_029048_0078,NC_029048,none
NC_029048_0079,NC_029048,none
NC_029048_0080,NC_029048,none
NC_029048_0081,NC_029048,none
NC_029048_0082,NC_029048,none
NC_029048_0083,NC_029048,none
NC_029048_0084,NC_029048,none
NC_029048_0085,NC_029048,none
NC_029048_0086,NC_029048,none
NC_029048_0087,NC_029048,none
NC_029048_0088,NC_029048,none
NC_029048_0089,NC_029048,none
NC_029048_0090,NC_029048,none
NC_029048_0091,NC_029048,none
NC_029048_0092,NC_029048,none
NC_029048_0093,NC_029048,none
NC_029048_0094,NC_029048,none
NC_029048_0095,NC_029048,none
NC_029048_0096,NC_029048,none
NC_029048_0097,NC_029048,none
NC_029048_0098,NC_029048,none
NC_029048_0099,NC_029048,none
NC_029048_0100,NC_029048,none
NC_029048_0101,NC_029048,none
NC_029048_0102,NC_029048,none
NC_029048_0103,NC_029048,none
NC_029048_0104,NC_029048,none
NC_029048_0105,NC_029048,none
NC_029048_0106,NC_029048,none
NC_029048_0107,NC_029048,none
NC_029048_0108,NC_029048,none
NC_029048_0109,NC_029048,none
NC_029048_0110,NC_029048,none
NC_029048_0111,NC_029048,none
NC_029048_0112,NC_029048,none
NC_029048_0113,NC_029048,none
NC_029048_0114,NC_029048,none
NC_029048_0115,NC_029048,none
NC_029048_0116,NC_029048,none
NC_029048_0117,NC_029048,none
NC_029048_0118,NC_029048,none
NC_029048_0119,NC_029048,none
NC_029048_0120,NC_029048,none
NC_029048_0121,NC_029048,none
NC_029048_0122,NC_029048,none
NC_029048_0123,NC_029048,none
NC_029048_0124,NC_029048,none
NC_029048_0125,NC_029048,none
NC_029048_0126,NC_029048,none
NC_029048_0127,NC_029048,none
NC_029048_0128,NC_029048,none
NC_029048_0129,NC_029048,none
NC_029048_0130,NC_029048,none
NC_029048_0131,NC_029048,none
NC_029048_0132,NC_029048,none
NC_029048_0133,NC_029048,none
NC_029048_0134,NC_029048,none
NC_029048_0135,NC_029048,none
NC_029048_0136,NC_029048,none
NC_029048_0137,NC_029048,none
NC_029048_0138,NC_029048,none
NC_029048_0139,NC_029048,none
NC_029048_0140,NC_029048,none
NC_029048_0141,NC_029048,none
NC_029048_0142,NC_029048,none
NC_029048_0143,NC_029048,none
NC_029048_0144,NC_029048,none
NC_029048_0145,NC_029048,none
NC_029048_0146,NC_029048,none
NC_029048_0147,NC_029048,none
NC_029048_0148,NC_029048,none
NC_029048_0149,NC_029048,none
NC_029048_0150,NC_029048,none
NC_029048_0151,NC_029048,none
NC_029048_0152,NC_029048,none
NC_029048_0153,NC_029048,none
NC_029048_0154,NC_029048,none
NC_029048_0155,NC_029048,none
NC_029048_0156,NC_029048,none
NC_029048_0157,NC_029048,none
NC_029048_0158,NC_029048,none
NC_029048_0159,NC_029048,none
NC_029048_0160,NC_029048,none
NC_029048_0161,NC_029048,none
NC_029048_0162,NC_029048,none
NC_029048_0163,NC_029048,none
NC_029048_0164,NC_029048,none
NC_029048_0165,NC_029048,none
NC_029048_0166,NC_029048,none
NC_029048_0167,NC_029048,none
NC_029048_0168,NC_029048,none
NC_029048_0169,NC_029048,none
NC_029048_0170,NC_029048,none
NC_029048_0171,NC_029048,none
NC_029048_0172,NC_029048,none
NC_029048_0173,NC_029048,none
NC_029048_0174,NC_029048,none
NC_029048_0175,NC_029048,none
NC_029048_0176,NC_029048,none
NC_029048_0177,NC_029048,none
NC_029048_0178,NC_029048,none
NC_029048_0179,NC_029048,none
NC_029048_0180,NC_029048,none
NC_029048_0181,NC_029048,none
LN681534_0001,LN681534,none
LN681534_0002,LN681534,none
LN681534_0003,LN681534,none
LN681534_0004,LN681534,none
LN681534_0005,LN681534,none
LN681534_0006,LN681534,none
LN681534_0007,LN681534,none
LN681534_0008,LN681534,none
LN681534_0009,LN681534,none
LN681534_0010,LN681534,none
LN681534_0011,LN681534,none
LN681534_0012,LN681534,none
LN681534_0013,LN681534,none
LN681534_0014,LN681534,none
LN681534_0015,LN681534,none
LN681534_0016,LN681534,none
LN681534_0017,LN681534,none
LN681534_0018,LN681534,none
LN681534_0019,LN681534,none
LN681534_0020,LN681534,none
LN681534_0021,LN681534,none
LN681534_0022,LN681534,none
LN681534_0023,LN681534,none
LN681534_0024,LN681534,none
LN681534_0025,LN681534,none
LN681534_0026,LN681534,none
LN681534_0027,LN681534,none
LN681534_0028,LN681534,none
LN681534_0029,LN681534,none
LN681534_0030,LN681534,none
LN681534_0031,LN681534,none
LN681534_0032,LN681534,none
LN681534_0033,LN681534,none
LN681534_0034,LN681534,none
LN681534_0035,LN681534,none
LN681534_0036,LN681534,none
LN681534_0037,LN681534,none
LN681534_0038,LN681534,none
LN681534_0039,LN681534,none
LN681534_0040,LN681534,none
LN681534_0041,LN681534,none
LN681534_0042,LN681534,none
LN681534_0043,LN681534,none
LN681534_0044,LN681534,none
LN681534_0045,LN681534,none
LN681534_0046,LN681534,none
LN681534_0047,LN681534,none
LN681534_0048,LN681534,none
LN681534_0049,LN681534,none
LN681534_0050,LN681534,none
LN681534_0051,LN681534,none
LN681534_0052,LN681534,none
LN681534_0053,LN681534,none
LN681534_0054,LN681534,none
LN681534_0055,LN681534,none
LN681534_0056,LN681534,none
LN681534_0057,LN681534,none
LN681534_0058,LN681534,none
NC_011398_0001,NC_011398,none
NC_011398_0002,NC_011398,none
NC_011398_0003,NC_011398,none
NC_011398_0004,NC_011398,none
NC_011398_0005,NC_011398,none
NC_011398_0006,NC_011398,none
NC_011398_0007,NC_011398,none
NC_011398_0008,NC_011398,none
NC_011398_0009,NC_011398,none
NC_011398_0010,NC_011398,none
NC_011398_0011,NC_011398,none
NC_011398_0012,NC_011398,none
NC_011398_0013,NC_011398,none
NC_011398_0014,NC_011398,none
NC_011398_0015,NC_011398,none
NC_011398_0016,NC_011398,none
NC_011398_0017,NC_011398,none
NC_011398_0018,NC_011398,none
NC_011398_0019,NC_011398,none
NC_011398_0020,NC_011398,none
NC_011398_0021,NC_011398,none
NC_011398_0022,NC_011398,none
NC_011398_0023,NC_011398,none
NC_011398_0024,NC_011398,none
NC_011398_0025,NC_011398,none
NC_011398_0026,NC_011398,none
NC_011398_0027,NC_011398,none
NC_011398_0028,NC_011398,none
NC_011398_0029,NC_011398,none
NC_011398_0030,NC_011398,none
NC_011398_0031,NC_011398,none
NC_011398_0032,NC_011398,none
NC_011398_0033,NC_011398,none
NC_011398_0034,NC_011398,none
NC_011398_0035,NC_011398,none
NC_011398_0036,NC_011398,none
NC_011398_0037,NC_011398,none
NC_011398_0038,NC_011398,none
NC_011398_0039,NC_011398,none
NC_011398_0040,NC_011398,none
NC_011398_0041,NC_011398,none
NC_011398_0042,NC_011398,none
NC_011398_0043,NC_011398,none
NC_011398_0044,NC_011398,none
NC_011398_0045,NC_011398,none
NC_011398_0046,NC_011398,none
NC_011398_0047,NC_011398,none
NC_011398_0048,NC_011398,none
NC_011398_0049,NC_011398,none
NC_011398_0050,NC_011398,none
NC_011398_0051,NC_011398,none
NC_011398_0052,NC_011398,none
NC_011398_0053,NC_011398,none
NC_011398_0054,NC_011398,none
NC_011398_0055,NC_011398,none
NC_011398_0056,NC_011398,none
NC_011398_0057,NC_011398,none
NC_011398_0058,NC_011398,none
NC_011398_0059,NC_011398,none
NC_011398_0060,NC_011398,none
NC_011398_0061,NC_011398,none
NC_011398_0062,NC_011398,none
NC_011398_0063,NC_011398,none
NC_011398_0064,NC_011398,none
NC_011398_0065,NC_011398,none
NC_011398_0066,NC_011398,none
NC_011398_0067,NC_011398,none
NC_011398_0068,NC_011398,none
NC_011398_0069,NC_011398,none
NC_011398_0070,NC_011398,none
NC_011398_0071,NC_011398,none
NC_011398_0072,NC_011398,none
NC_015568_0001,NC_015568,none
NC_015568_0002,NC_015568,none
NC_015568_0003,NC_015568,none
NC_015568_0004,NC_015568,none
NC_015568_0005,NC_015568,none
NC_015568_0006,NC_015568,none
NC_015568_0007,NC_015568,none
NC_015568_0008,NC_015568,none
NC_015568_0009,NC_015568,none
NC_015568_0010,NC_015568,none
NC_015568_0011,NC_015568,none
NC_015568_0012,NC_015568,none
NC_015568_0013,NC_015568,none
NC_015568_0014,NC_015568,none
NC_015568_0015,NC_015568,none
NC_015568_0016,NC_015568,none
NC_015568_0017,NC_015568,none
NC_015568_0018,NC_015568,none
NC_015568_0019,NC_015568,none
NC_015568_0020,NC_015568,none
NC_015568_0021,NC_015568,none
NC_015568_0022,NC_015568,none
NC_015568_0023,NC_015568,none
NC_015568_0024,NC_015568,none
NC_015568_0025,NC_015568,none
NC_015568_0026,NC_015568,none
NC_015568_0027,NC_015568,none
NC_015568_0028,NC_015568,none
NC_015568_0029,NC_015568,none
NC_015568_0030,NC_015568,none
NC_015568_0031,NC_015568,none
NC_015568_0032,NC_015568,none
NC_015568_0033,NC_015568,none
NC_015568_0034,NC_015568,none
NC_015568_0035,NC_015568,none
NC_015568_0036,NC_015568,none
NC_015568_0037,NC_015568,none
NC_015568_0038,NC_015568,none
NC_015568_0039,NC_015568,none
NC_015568_0040,NC_015568,none
NC_015568_0041,NC_015568,none
NC_015568_0042,NC_015568,none
NC_015568_0043,NC_015568,none
NC_015568_0044,NC_015568,none
NC_015568_0045,NC_015568,none
NC_015568_0046,NC_015568,none
NC_015568_0047,NC_015568,none
NC_015568_0048,NC_015568,none
NC_015568_0049,NC_015568,none
NC_015568_0050,NC_015568,none
MW512573_0001,MW512573,none
MW512573_0002,MW512573,none
MW512573_0003,MW512573,none
MW512573_0004,MW512573,none
MW512573_0005,MW512573,none
MW512573_0006,MW512573,none
MW512573_0007,MW512573,none
MW512573_0008,MW512573,none
MW512573_0009,MW512573,none
MW512573_0010,MW512573,none
MW512573_0011,MW512573,none
MW512573_0012,MW512573,none
MW512573_0013,MW512573,none
MW512573_0014,MW512573,none
MW512573_0015,MW512573,none
MW512573_0016,MW512573,none
MW512573_0017,MW512573,none
MW512573_0018,MW512573,none
MW512573_0019,MW512573,none
MW512573_0020,MW512573,none
MW512573_0021,MW512573,none
MW512573_0022,MW512573,none
MW512573_0023,MW512573,none
MW512573_0024,MW512573,none
MW512573_0025,MW512573,none
MW512573_0026,MW512573,none
MW512573_0027,MW512573,none
MW512573_0028,MW512573,none
MW512573_0029,MW512573,none
MW512573_0030,MW512573,none
MW512573_0031,MW512573,none
MW512573_0032,MW512573,none
MW512573_0033,MW512573,none
MW512573_0034,MW512573,none
MW512573_0035,MW512573,none
MW512573_0036,MW512573,none
MW512573_0037,MW512573,none
MW512573_0038,MW512573,none
MW512573_0039,MW512573,none
MW512573_0040,MW512573,none
MW512573_0041,MW512573,none
MW512573_0042,MW512573,none
MW512573_0043,MW512573,none
MW512573_0044,MW512573,none
MW512573_0045,MW512573,none
MW512573_0046,MW512573,none
MW512573_0047,MW512573,none
MW512573_0048,MW512573,none
MW512573_0049,MW512573,none
MW512573_0050,MW512573,none
MW512573_0051,MW512573,none
MW512573_0052,MW512573,none
MW512573_0053,MW512573,none
MW512573_0054,MW512573,none
MW512573_0055,MW512573,none
MW512573_0056,MW512573,none
MW512573_0057,MW512573,none
MW512573_0058,MW512573,none
MW512573_0059,MW512573,none
MW512573_0060,MW512573,none
MW512573_0061,MW512573,none
MW512573_0062,MW512573,none
MW512573_0063,MW512573,none
MW512573_0064,MW512573,none
MW512573_0065,MW512573,none
MW512573_0066,MW512573,none
MW512573_0067,MW512573,none
MW512573_0068,MW512573,none
MW512573_0069,MW512573,none
MW512573_0070,MW512573,none
MW512573_0071,MW512573,none
MW512573_0072,MW512573,none
MW512573_0073,MW512573,none
MW512573_0074,MW512573,none
MW512573_0075,MW512573,none
MW512573_0076,MW512573,none
MW512573_0077,MW512573,none
MW512573_0078,MW512573,none
MW512573_0079,MW512573,none
MW512573_0080,MW512573,none
MW512573_0081,MW512573,none
MW512573_0082,MW512573,none
MW512573_0083,MW512573,none
MW512573_0084,MW512573,none
MW512573_0085,MW512573,none
MW512573_0086,MW512573,none
MW512573_0087,MW512573,none
MW512573_0088,MW512573,none
NC_028951_0001,NC_028951,none
NC_028951_0002,NC_028951,none
NC_028951_0003,NC_028951,none
NC_028951_0004,NC_028951,none
NC_028951_0005,NC_028951,none
NC_028951_0006,NC_028951,none
NC_028951_0007,NC_028951,none
NC_028951_0008,NC_028951,none
NC_028951_0009,NC_028951,none
NC_028951_0010,NC_028951,none
NC_028951_0011,NC_028951,none
NC_028951_0012,NC_028951,none
NC_028951_0013,NC_028951,none
NC_028951_0014,NC_028951,none
NC_028951_0015,NC_028951,none
NC_028951_0016,NC_028951,none
NC_028951_0017,NC_028951,none
NC_028951_0018,NC_028951,none
NC_028951_0019,NC_028951,none
NC_028951_0020,NC_028951,none
NC_028951_0021,NC_028951,none
NC_028951_0022,NC_028951,none
NC_028951_0023,NC_028951,none
NC_028951_0024,NC_028951,none
NC_028951_0025,NC_028951,none
NC_028951_0026,NC_028951,none
NC_028951_0027,NC_028951,none
NC_028951_0028,NC_028951,none
NC_028951_0029,NC_028951,none
